,시장,티커,종목이름
0,KOSPI,095570,AJ네트웍스
1,KOSPI,006840,AK홀딩스
2,KOSPI,027410,BGF
3,KOSPI,282330,BGF리테일
4,KOSPI,138930,BNK금융지주
5,KOSPI,001460,BYC
6,KOSPI,001465,BYC우
7,KOSPI,001040,CJ
8,KOSPI,079160,CJ CGV
9,KOSPI,00104K,CJ4우(전환)
10,KOSPI,000120,CJ대한통운
11,KOSPI,011150,CJ씨푸드
12,KOSPI,011155,CJ씨푸드1우
13,KOSPI,001045,CJ우
14,KOSPI,097950,CJ제일제당
15,KOSPI,097955,CJ제일제당 우
16,KOSPI,000590,CS홀딩스
17,KOSPI,012030,DB
18,KOSPI,016610,DB금융투자
19,KOSPI,005830,DB손해보험
20,KOSPI,000990,DB하이텍
21,KOSPI,000995,DB하이텍1우
22,KOSPI,139130,DGB금융지주
23,KOSPI,001530,DI동일
24,KOSPI,000210,DL
25,KOSPI,001880,DL건설
26,KOSPI,000215,DL우
27,KOSPI,375500,DL이앤씨
28,KOSPI,37550K,DL이앤씨우
29,KOSPI,004840,DRB동일
30,KOSPI,155660,DSR
31,KOSPI,069730,DSR제강
32,KOSPI,017940,E1
33,KOSPI,365550,ESR켄달스퀘어리츠
34,KOSPI,383220,F&F
35,KOSPI,007700,F&F홀딩스
36,KOSPI,114090,GKL
37,KOSPI,078930,GS
38,KOSPI,006360,GS건설
39,KOSPI,001250,GS글로벌
40,KOSPI,007070,GS리테일
41,KOSPI,078935,GS우
42,KOSPI,012630,HDC
43,KOSPI,039570,HDC아이콘트롤스
44,KOSPI,089470,HDC현대EP
45,KOSPI,294870,HDC현대산업개발
46,KOSPI,011200,HMM
47,KOSPI,082740,HSD엔진
48,KOSPI,003560,IHQ
49,KOSPI,175330,JB금융지주
50,KOSPI,234080,JW생명과학
51,KOSPI,001060,JW중외제약
52,KOSPI,001067,JW중외제약2우B
53,KOSPI,001065,JW중외제약우
54,KOSPI,096760,JW홀딩스
55,KOSPI,105560,KB금융
56,KOSPI,002380,KCC
57,KOSPI,344820,KCC글라스
58,KOSPI,009070,KCTC
59,KOSPI,009440,KC그린홀딩스
60,KOSPI,119650,KC코트렐
61,KOSPI,092220,KEC
62,KOSPI,016380,KG동부제철
63,KOSPI,016385,KG동부제철우
64,KOSPI,001390,KG케미칼
65,KOSPI,033180,KH 필룩스
66,KOSPI,001940,KISCO홀딩스
67,KOSPI,025000,KPX케미칼
68,KOSPI,092230,KPX홀딩스
69,KOSPI,000040,KR모터스
70,KOSPI,044450,KSS해운
71,KOSPI,030200,KT
72,KOSPI,033780,KT&G
73,KOSPI,030210,KTB투자증권
74,KOSPI,058850,KTcs
75,KOSPI,058860,KTis
76,KOSPI,093050,LF
77,KOSPI,003550,LG
78,KOSPI,034220,LG디스플레이
79,KOSPI,051900,LG생활건강
80,KOSPI,051905,LG생활건강우
81,KOSPI,003555,LG우
82,KOSPI,032640,LG유플러스
83,KOSPI,011070,LG이노텍
84,KOSPI,066570,LG전자
85,KOSPI,066575,LG전자우
86,KOSPI,037560,LG헬로비전
87,KOSPI,051910,LG화학
88,KOSPI,051915,LG화학우
