날짜,시가,고가,저가,종가,거래량
2010-01-04,14109,14892,13868,14732,158976
2010-01-05,14652,15113,14491,14853,124156
2010-01-06,14973,15093,14652,14913,72453
2010-01-07,14912,15012,14471,14732,99241
2010-01-08,14752,14752,14070,14632,114818
2010-01-11,14691,14731,14230,14451,125740
2010-01-12,14310,14551,14149,14551,98142
2010-01-13,14451,14511,14170,14411,70397
2010-01-14,14450,14831,14189,14270,132968
2010-01-15,14451,15755,14390,15555,292527
2010-01-18,15354,15716,14973,15435,162430
2010-01-19,15474,15514,14711,15053,169655
2010-01-20,15053,15073,14471,15033,192798
2010-01-21,14953,15314,14632,14853,181159
2010-01-22,14571,14752,14371,14632,109417
2010-01-25,14230,14551,14069,14471,131876
2010-01-26,14471,14611,13889,14150,163202
2010-01-27,14049,14109,13587,13989,166836
2010-01-28,14049,14551,13828,14531,146932
2010-01-29,14170,14651,14049,14170,133663
2010-02-01,14170,14451,14049,14411,74728
2010-02-02,14571,14652,14391,14612,116512
2010-02-03,14771,14812,14089,14491,162244
2010-02-04,14431,14431,13969,14050,108450
2010-02-05,13467,13608,13286,13608,121509
2010-02-08,13547,13567,13326,13347,63183
2010-02-09,13267,13508,13267,13468,82177
2010-02-10,13487,13989,13487,13889,113336
2010-02-11,13969,14411,13969,14351,110516
2010-02-12,14571,14752,14210,14431,145248
2010-02-16,14270,14551,14150,14411,43993
2010-02-17,14571,14632,14351,14632,64903
2010-02-18,14631,14831,14290,14551,49991
2010-02-19,14430,14631,14189,14210,29588
2010-02-22,14330,14411,14230,14371,28555
2010-02-23,14411,14752,14270,14612,54520
2010-02-24,14591,14591,14290,14411,37085
2010-02-25,14531,14551,14009,14210,52504
2010-02-26,14190,14230,13909,14110,36660
2010-03-02,14150,14330,13688,14070,76025
2010-03-03,14169,14209,13908,13989,59252
2010-03-04,13909,14049,13587,13608,98903
2010-03-05,13708,13809,13608,13809,67113
2010-03-08,13809,13909,13668,13809,77090
2010-03-09,13748,13789,13447,13488,125428
2010-03-10,13568,13769,13488,13729,50812
2010-03-11,13748,13949,13668,13809,101072
2010-03-12,13748,13848,13547,13588,59691
2010-03-15,13568,13708,13447,13548,35569
2010-03-16,13608,13608,13427,13448,28195
2010-03-17,13568,13969,13568,13789,206273
2010-03-18,13668,13869,13648,13869,48942
2010-03-19,13869,13949,13708,13789,87472
2010-03-22,13828,14029,13628,13849,77863
2010-03-23,13949,13949,13648,13729,80971
2010-03-24,13809,13909,13688,13749,91368
2010-03-25,13768,13909,13668,13809,103077
2010-03-26,13888,13888,13687,13708,53030
2010-03-29,13628,13728,13527,13628,80521
2010-03-30,13708,13708,13406,13708,104676
2010-03-31,13768,13768,13347,13528,86343
2010-04-01,13467,13849,13227,13769,254830
2010-04-02,13788,13949,13607,13949,91470
2010-04-05,13909,14009,13788,13869,377787
2010-04-06,13849,14130,13648,13789,85387
2010-04-07,13848,13848,13547,13648,120865
2010-04-08,13588,13648,13267,13267,256701
2010-04-09,13347,13427,13146,13347,96880
2010-04-12,13327,13327,13026,13187,98918
2010-04-13,13186,13186,12905,13146,109978
2010-04-14,13146,13448,13086,13448,96837
2010-04-15,13447,13749,13267,13749,85267
2010-04-16,13647,13708,13427,13708,77551
2010-04-19,13528,13809,13488,13749,135050
2010-04-20,13748,13849,13668,13849,58576
2010-04-21,13909,13949,13748,13849,81750
2010-04-22,13909,13909,13708,13849,42255
2010-04-23,13889,13909,13788,13829,37649
2010-04-26,13869,13989,13708,13849,56831
2010-04-27,13768,13929,13568,13849,89989
2010-04-28,13587,13688,13447,13688,104260
2010-04-29,13648,13648,13407,13648,58473
2010-04-30,13547,13688,13306,13367,112324
2010-05-03,13467,13949,13427,13849,509057
2010-05-04,14390,15173,14270,15113,1018963
2010-05-06,14852,15695,14832,15334,389869
2010-05-07,15012,16096,14832,15956,366437
2010-05-10,15956,16017,15475,15716,371886
2010-05-11,15715,16197,15274,15555,275125
2010-05-12,15695,16298,15254,16298,301510
2010-05-13,16398,16860,16398,16559,979912
2010-05-14,16559,16719,16157,16258,217944
2010-05-17,15916,16458,15816,16258,152597
2010-05-18,16498,16739,15896,16338,261205
2010-05-19,16057,16438,15936,16298,182146
2010-05-20,16157,16297,15836,16117,150089
2010-05-24,16017,16057,15455,15997,118921
2010-05-25,15735,15916,15033,15836,161444
2010-05-26,15716,15876,15435,15696,118739
2010-05-27,15655,15856,15093,15174,252567
2010-05-28,15193,15434,14431,14712,405736
2010-05-31,14953,15776,14912,15776,432674
2010-06-01,15936,16056,15434,15615,197531
2010-06-03,15856,16297,15555,15756,245194
2010-06-04,15756,15796,15414,15696,205421
2010-06-07,15274,15756,15093,15696,137235
2010-06-08,15715,16859,15514,16759,280396
2010-06-09,16940,17582,16598,16920,359599
2010-06-10,17060,17080,16478,17000,175181
2010-06-11,17100,17100,16297,16699,349058
2010-06-14,16699,17201,16478,17161,290470
2010-06-15,17180,17401,16839,17060,316942
2010-06-16,17140,17320,16939,17040,290986
2010-06-17,17140,17140,16638,16940,182805
2010-06-18,16899,17140,16859,17060,145416
2010-06-21,17180,17501,16939,17321,208395
2010-06-22,17201,17482,17201,17382,98315
2010-06-23,17301,17361,16739,16880,177738
2010-06-24,16940,17020,16779,16800,115308
2010-06-25,16779,17160,16698,17000,90996
2010-06-28,16880,17201,16880,17121,70475
2010-06-29,17080,17241,16599,16840,80886
2010-06-30,16618,17040,16598,16980,74434
2010-07-01,16779,16979,16237,16458,108563
2010-07-02,16398,16579,16016,16017,120909
2010-07-05,16297,16759,16056,16679,83123
2010-07-06,16658,16859,16578,16719,69287
2010-07-07,16860,16880,16559,16559,65448
2010-07-08,16759,16859,16599,16599,39545
2010-07-09,16799,16840,16458,16840,52593
2010-07-12,17040,17060,16879,16960,54958
2010-07-13,17060,17060,16759,16820,81033
2010-07-14,16819,16940,16498,16619,170654
2010-07-15,16538,16719,16538,16599,186280
2010-07-16,16699,16759,16418,16559,88315
2010-07-19,16237,16558,16237,16338,52171
2010-07-20,16457,16979,16437,16759,107364
2010-07-21,16899,16960,16658,16960,83344
2010-07-22,17060,17260,16899,17060,187906
2010-07-23,17321,17381,17060,17201,95882
2010-07-26,17080,17381,17080,17161,84554
2010-07-27,17240,17320,17060,17060,82504
2010-07-28,17221,17221,16840,16840,46114
2010-07-29,16840,16960,16498,16820,69915
2010-07-30,16959,17200,16819,17060,70257
2010-08-02,17040,17301,17020,17261,61237
2010-08-03,17381,17482,16057,16057,263829
2010-08-04,16217,16357,15514,15856,356324
2010-08-05,15956,16096,15815,15876,89228
2010-08-06,15976,15976,15635,15716,78927
2010-08-09,15675,15875,15072,15093,239304
2010-08-10,15193,15253,14852,15033,213581
2010-08-11,15053,15173,14612,14612,168675
2010-08-12,14451,14872,14350,14652,103693
2010-08-13,14752,14832,14611,14712,103881
2010-08-16,14711,14952,14671,14812,122803
2010-08-17,14912,15233,14892,15033,203428
2010-08-18,15053,15093,14391,14612,232336
2010-08-19,14611,14892,14611,14812,198023
2010-08-20,14812,14973,14672,14672,113441
2010-08-23,14712,14892,14491,14672,66787
2010-08-24,14692,14712,13729,13729,248751
2010-08-25,13728,14150,13568,13849,131563
2010-08-26,14070,14551,14070,14351,328378
2010-08-27,14371,14611,14330,14351,137000
2010-08-30,14511,14612,14090,14331,77342
2010-08-31,14190,14290,13849,14110,152492
2010-09-01,14109,14571,14089,14491,105618
2010-09-02,14651,14651,14149,14451,175887
2010-09-03,14631,14732,14310,14351,117849
2010-09-06,14450,14491,14109,14190,113092
2010-09-07,14190,14331,13809,14010,191485
2010-09-08,14050,14090,13728,14010,242202
2010-09-09,14130,14250,13708,13809,158190
2010-09-10,13869,14030,13648,14030,196650
2010-09-13,14270,14391,14090,14351,241382
2010-09-14,14531,15033,14471,15013,644607
2010-09-15,15053,15113,14752,14993,315035
2010-09-16,15032,15053,14711,14752,116617
2010-09-17,14752,14973,14491,14973,156667
2010-09-20,15053,15153,14772,14953,81459
2010-09-24,14852,15133,14731,15093,123344
2010-09-27,15133,15194,14913,15174,129288
2010-09-28,15354,15635,15133,15154,224079
2010-09-29,15234,15736,15214,15455,358524
2010-09-30,15494,15856,15494,15816,316472
2010-10-01,15816,15976,15595,15776,222394
2010-10-04,15916,15916,15253,15274,169057
2010-10-05,15354,15997,15294,15997,270232
2010-10-06,16076,16538,15835,16438,328268
2010-10-07,16317,16478,16257,16458,209062
2010-10-08,16318,16518,16177,16278,108928
2010-10-11,16358,16498,16177,16318,91653
2010-10-12,16458,16759,16177,16458,348878
2010-10-13,16398,16559,16217,16539,68291
2010-10-14,16538,16538,15916,16278,134687
2010-10-15,16257,16297,15815,16137,124166
2010-10-18,16357,16478,16157,16157,98029
2010-10-19,16317,16397,16096,16237,82481
2010-10-20,15976,16358,15916,16338,70616
2010-10-21,16397,16397,15996,16137,44540
2010-10-22,16116,16177,15856,15856,65679
2010-10-25,16036,16117,15775,16117,58721
2010-10-26,16117,16117,15655,15716,90012
2010-10-27,15896,15896,15354,15796,155254
2010-10-28,15675,15816,15515,15716,45935
2010-10-29,15776,15856,15454,15756,80367
2010-11-01,15816,16338,15735,16318,118500
2010-11-02,16638,16959,16337,16418,256540
2010-11-03,16679,16900,16558,16599,368713
2010-11-04,16598,16739,16357,16679,114369
2010-11-05,16659,16679,16257,16298,119069
2010-11-08,16457,16497,16196,16237,52903
2010-11-09,16096,16277,16056,16137,69149
2010-11-10,16217,16398,16097,16097,55664
2010-11-11,16117,16177,15695,15716,147162
2010-11-12,15856,15856,15154,15696,128242
2010-11-15,15574,15635,15313,15635,91359
2010-11-16,15474,15615,15173,15234,83116
2010-11-17,14872,15314,14852,14933,103213
2010-11-18,15153,15776,15093,15776,129054
2010-11-19,15796,15816,15575,15716,58541
2010-11-22,16237,16257,15695,15856,322226
2010-11-23,15976,16057,15635,15997,94417
2010-11-24,15354,16057,15354,16057,182123
2010-11-25,16076,16076,15735,15956,76639
2010-11-26,15856,15916,15134,15134,85845
2010-11-29,15253,15394,14952,15013,85081
2010-11-30,15052,15354,14872,15354,152294
2010-12-01,15273,15354,14912,15314,197412
2010-12-02,15374,15414,15174,15174,55083
2010-12-03,15254,15354,15013,15194,60923
2010-12-06,15193,15294,14892,14993,95070
2010-12-07,14993,15154,14913,15154,68233
2010-12-08,15153,15173,14972,15053,36295
2010-12-09,15193,15314,15012,15314,85423
2010-12-10,15233,15354,15073,15314,87978
2010-12-13,15333,15414,15233,15354,55940
2010-12-14,15374,15615,15354,15515,82496
2010-12-15,15454,15635,15374,15595,55240
2010-12-16,15514,15695,15434,15635,61566
2010-12-17,15635,15635,15374,15595,75607
2010-12-20,15374,15635,15033,15033,80109
2010-12-21,15173,15293,14992,15033,62665
2010-12-22,15032,15233,15032,15093,29347
2010-12-23,15153,15294,15053,15274,78764
2010-12-24,15273,15293,14972,15113,72492
2010-12-27,14952,15032,14772,14772,40542
2010-12-28,14772,14952,14672,14672,62743
2010-12-29,14571,15314,14571,15314,115503
2010-12-30,15314,15495,15033,15495,105189
2011-01-03,15555,15555,15274,15415,67366
2011-01-04,15414,15936,15414,15575,77414
2011-01-05,15614,15755,15454,15655,55443
2011-01-06,15816,15896,15575,15696,44358
2011-01-07,15775,16157,15635,16077,131875
2011-01-10,16196,16397,15915,15916,57982
2011-01-11,15976,16258,15695,16258,83664
2011-01-12,16337,16337,15916,16077,89229
2011-01-13,16077,16338,15856,16298,109322
2011-01-14,16297,16377,15976,16177,192936
2011-01-17,16036,16257,15775,16217,118108
2011-01-18,16036,16137,15776,15776,76728
2011-01-19,15836,16117,15515,16077,98082
2011-01-20,15755,16076,15715,15796,59740
2011-01-21,15796,15896,15515,15796,75167
2011-01-24,15795,16036,15654,15956,74611
2011-01-25,15936,16036,15856,15856,96381
2011-01-26,15936,16378,15936,16338,124754
2011-01-27,16398,16659,16177,16659,121111
2011-01-28,16759,17000,16498,16699,107175
2011-01-31,16498,16638,16156,16177,78802
2011-02-01,16197,16378,16077,16358,56923
2011-02-07,16839,16839,16437,16518,73403
2011-02-08,16518,16799,16458,16659,71792
2011-02-09,16498,16859,16317,16739,95618
2011-02-10,16579,17141,16579,16800,122975
2011-02-11,16880,17402,16699,16840,237910
2011-02-14,16839,17140,16758,17060,102930
2011-02-15,17060,17421,16959,17341,315242
2011-02-16,17501,17762,17180,17301,127447
2011-02-17,17461,17542,16659,17482,155393
2011-02-18,17482,17903,17281,17763,117362
2011-02-21,17763,18064,17662,17964,191062
2011-02-22,17863,18084,17703,17944,49251
2011-02-23,17923,18064,17582,17964,123410
2011-02-24,17963,19027,17863,18646,260861
